"Category","Name","Description","Value ","Default Value"
Data Exchange,intf2d_out_pnt_ent,"Yes - Exports a drawing point to IGES, DXF or DWG as a point entity. No - Exports a drawing point as shape entities.","yes, no",no
Data Exchange,intf2d_out_splines_to_arcs,Yes - splines geometrically representing arcs will be exported as arcs. No - such splines will be exported as splines.,"yes, no",yes
Data Exchange,intf2d_out_stroke_text,"Strokes == text is converted to lines and dots. ""NONE""- Does not stroke out the text for export. ""ALL"" - Strokes out all the text. ""SPECIAL"" - Strokes out only special characters.","all, none, special",none
Data Exchange,intf3d_ideas_import_filter,Enables UI to selectively import I-DEAS part and assembly models from the I-DEAS .mf1 and .pkg container files.,"yes, no",no
Data Exchange,intf3d_ideas_install_dir,Specifies the path for I-DEAS installation. Use the full pathname to avoid problems.,,
Data Exchange,intf3d_ideas_run_command,"Specifies the I-DEAS run command. Default command is ""ideas"".",,ideas.cmd
Data Exchange,intf3d_in_enable_layer_join,No - Join surfaces on import as geometry is loaded from file. Yes - Use new method to join surfaces by layer (surfaces contained on the same layer are joined together first) with a better chance of joining those surface elements to form closed geometry.,"yes, no",yes
Data Exchange,intf3d_in_import_as_facets,Import faceted data for formats that support both facet and Brep representations.,"yes, no, default",default
Data Exchange,intf3d_in_lock_redisplay,Provides the option to prevent the redisplay of models while they are in transitional state during Creo Elements/Direct file import.,"yes, no",no
Data Exchange,intf3d_out_anno_as,"This option will determine if annotations are exported and, if exported, whether they will be exported as polyline or semantic.","none, default, graphic, semantic",graphic
Data Exchange,intf3d_out_cat2_ident_crv,Specifies model parameter IDENT_CRV while exporting to Catia.,,-1
Data Exchange,intf3d_out_cat2_ident_pt,Specifies model parameter IDENT_PT while exporting to Catia.,,-1
Data Exchange,intf3d_out_cat2_infinity,Specifies model parameter INFINITY while exporting to Catia.,,-1
Data Exchange,intf3d_out_cat2_model_sz,Specifies model parameter MODEL_SZ while exporting to Catia.,,-1
Data Exchange,intf3d_out_cat2_sag,Specifies model parameter SAG while exporting to Catia.,,-1
Data Exchange,intf3d_out_cat2_step,Specifies model parameter STEP while exporting to Catia.,,-1
Without category,intf3d_out_catia_v5_version,Allows the user to switch between the default and alternate converter version for export to CATIA V5,"16, 17, 18, 19, 20, 21, 22",16
Data Exchange,intf3d_out_datums_by_default,Determines whether datum curves are included when exporting IGES files in Batch mode.,"yes, no",no
Data Exchange,intf3d_out_default_option,Controls the type of 3-D data output through Pro/BATCH to an IGES or STEP file.,"none, wireframe, surfaces, wireframe_surfaces, solid, shells",surfaces
Data Exchange,intf3d_out_extend_surface,Specifies how surfaces are handled for exporting files to other systems,"yes, no",yes
Data Exchange,intf3d_out_force_surf_normals,IGES and PDGS export. Controls normals of non-analytic surfaces. Yes - Forces the surface normals to point in a consistent direction. No - Does not force the surface normals to point in a consistent direction.,"yes, no",no
Data Exchange,intf3d_out_jt_auto_lods,Generate three default Creo Parametric LODs.,"yes, no",no
Data Exchange,intf3d_out_jt_brep,"No*: Export to JT as facet representation only, jt_brep: Export to JT as facet and jt_brep representation, xt_brep: Export to JT as facet and xt_brep representation","no, jt_brep, xt_brep",no
Without category,intf3d_out_jt_config_name,Name of JT configuration file.,,
Without category,intf3d_out_jt_config_path,Path to JT configuration file.,,
Data Exchange,intf3d_out_jt_structure,Specifies product structure to file structure mapping defined in JT Open Toolkit.,"per_part, fully_shattered, monolithic",per_part
Data Exchange,intf3d_out_parameters,Exports parameters with models.,"all, none, designated",all
Data Exchange,intf3d_out_prop_chord_heights,Use maximum chord heights proportional to component sizes.,"yes, no",no
Data Exchange,intf3d_out_prop_step_sizes,Use maximum step sizes proportional to component sizes.,"yes, no",no
Data Exchange,intf3d_out_surface_deviation,Sets maximum allowable deviation between original and resulting surfaces in the process of converting Creo Parametric surfaces to spline surfaces. By setting this you convert surfaces with a better approximation than by using the current model accuracy.,,-1
Data Exchange,intf3d_out_unicode_to_neutral,"YES - Unicode strings are exported to the Neutral file, NO - Unicode strings are converted to ascii characters for Neutral file export.","yes, no",yes
Data Exchange,intf3d_out_use_num_names,Use numeric layer names as layer export IDs.,"yes, no",yes
Data Exchange,intf3d_out_use_step_size,Use maximum step size(s).,"yes, no",no
Data Exchange,intf3d_parasolid_export_schema,Allows user to choose the schema to be used for parasolid export. Default is SCH_10004. Consult online documentation for other valid schema settings.,,sch_10004
Data Exchange,intf_cadds_import_make_solid,Allows the user to solidify all closed quilts during import CADDS5 model.,"yes, no",no
Data Exchange,intf_cadds_version,Allows the user to switch between the default and alternate converter version for interface with CADDS5,"14, 15",14
Data Exchange,intf_generate_log_file,Specifies not to generate or generate short or long log files for data exchange import operations.,"no, long, short",short
Data Exchange,intf_ignore_suffix_in_pvz,YES- the document type as suffix will not be appended to the part name in Creo View name during Save As to Workspace operation,"yes, no",no
Data Exchange,intf_in_dwg_pnt_ent,Yes - Converts an IGES or DXF point entity to a drawing point.,"yes, no",no
Data Exchange,intf_in_dwg_view,Controls if associativity in an imported IGES view is preserved. 3D_VIEWS - tries to create 3D views if 3D model exists in the file. 2D_VIEWS - Imported IGES views work as 2D. No - Imported IGES views are exploded and become unrelated.,"no, 2d_views, 3d_views",2d_views
Data Exchange,intf_in_extract_profiles,"Default, no profiles in a data exchange file will be extracted for use.","all, none, comp",none
Data Exchange,intf_in_granite_direct_enable,"Allows the user to switch back to the old 'Import Feature' method of reading Desktop .des files and Granite .g files into Creo Parametric. By default, Creo Parametric directly opens these models.","yes, no",yes
Data Exchange,intf_in_layer_asm_dialog,Yes - Presents a dialog box to control the import of both layers and assemblies. You can choose from the list of layers and/or solids available in the file to select one or more for import.,"yes, no",no
Data Exchange,intf_in_profile_default,Specifies the name of the existing import profile to use by default.,,
Data Exchange,intf_out_as_bezier,Exports all B-splines as Bezier surfaces.,"yes, no",no
Data Exchange,intf_out_asm_mapped_item,Export assembly components and instances using MAPPED ITEM entity.,"yes, no",no
Data Exchange,intf_out_assign_names,"Controls how entity names are handled when an object is exported to STEP format from part or assembly mode. You can give unique names to Creo Parametric datum points, datum axes, datum curves, surfaces, edges, and quilts.","no_name, user_name, id_name",no_name
Data Exchange,intf_out_auto_layer_ids,Yes - Automatically assigns interface IDs for layers that were not assigned IDs during export. No - Does not assign interface IDs for layers that were not assigned IDs during export.,"yes, no",no
Data Exchange,intf_out_blanked_entities,Filters export of entities based on their blank status,"yes, no",yes
Data Exchange,intf_out_cat_start_model,Specifies Catia start model to be used for CATIA II .model export.,,
Data Exchange,intf_out_ed_recipe_file,Sets the Creo View recipe file for export to .ed and .edz formats. For use with Windchill 8.0 and earlier servers,,
Data Exchange,intf_out_layer,Layer mapping mechanism providing an ability to group entities to layers or blocks.,"none, part_layer, block_layer, block_nested_layer, block_view_based_layer, block_nested_view_based_layer",none
Data Exchange,intf_out_layer_rename_table,Enables you to assign interface ids to layers during export,,
Data Exchange,intf_out_max_bspl_degree,Controls the maximum degree of exported B-spline surfaces when exporting through IGES,,16
Data Exchange,intf_out_pvs_recipe_file,Sets the Creo View recipe file for export to .pvs and .pvz formats. For use with Windchill 9.0 and later servers,,
Data Exchange,intf_out_text_length,Sets text length in exported 2-D. As_is - Width of each character is width of strokes. Full_size - Width of each character is width of character text box. Adjusted - Adjusts spacing so no extra space left and end/start character do not overlap.,"as_is, full_size, adjusted",full_size
